Brand Name,Generic Name,Number of Manufacturers,Total Spending,Total Dosage Units,Total Claims,Total Beneficiaries,Average Spending Per Dosage Unit (Weighted),Average Spending Per Claim,Average Spending Per Beneficiary
Symbicort ,Budesonide/Formoterol Fumarate ,1,"$1,431,862,303.00","51,337,583","4,142,775","1,012,546",$27.88,$345.63,"$1,414.12"
Symbyax ,Olanzapine/Fluoxetine HCl ,1,"$625,452.20","42,805","1,094",187,$14.65,$571.71,"$3,344.66"
Symlinpen 120 ,Pramlintide Acetate ,1,"$14,243,232.43","88,594","7,717","1,580",$160.77,"$1,845.70","$9,014.70"
Symlinpen 60 ,Pramlintide Acetate ,1,"$4,041,510.93","16,611","2,945",780,$243.31,"$1,372.33","$5,181.42"
Synalgos-Dc ,Aspirin/Caffein/Dihydrocodeine ,1,"$19,265.61","11,087",155,44,$1.74,$124.29,$437.85
Synera ,Lidocaine/Tetracaine ,1,"$806,311.53","54,528",914,448,$14.79,$882.18,"$1,799.80"
Synjardy ,Empagliflozin/Metformin HCl ,1,"$864,301.25","134,122","1,966",630,$6.44,$439.62,"$1,371.91"
Synribo ,Omacetaxine Mepesuccinate ,1,"$2,335,790.20","2,528",334,52,$923.97,"$6,993.38","$44,919.04"
Synthroid ,Levothyroxine Sodium ,1,"$256,227,726.34","305,045,915","5,341,632","1,009,379",$0.84,$47.97,$253.85
Syprine ,Trientine HCl ,1,"$13,868,415.28","64,106",645,85,$216.34,"$21,501.42","$163,157.83"
Tabloid ,Thioguanine ,1,"$269,233.45","10,622",290,90,$25.35,$928.39,"$2,991.48"
Taclonex ,Calcipotriene/Betamethasone ,1,"$7,790,360.34","565,460","6,104","3,520",$13.78,"$1,276.27","$2,213.17"
Tacrolimus ,Tacrolimus ,11,"$52,443,040.25","35,438,865","271,453","65,056",$2.00,$193.19,$806.12
Tafinlar ,Dabrafenib Mesylate ,1,"$18,914,322.79","269,164","2,342",795,$71.24,"$8,076.14","$23,791.60"
Tagrisso ,Osimertinib Mesylate ,1,"$113,412,001.98","251,419","8,332","1,474",$451.09,"$13,611.62","$76,941.66"
Tamiflu ,Oseltamivir Phosphate ,2,"$46,620,180.85","3,658,410","340,986","320,424",$13.63,$136.72,$145.50
Tamoxifen Citrate ,Tamoxifen Citrate ,5,"$14,656,169.09","26,582,647","464,777","97,616",$0.56,$31.53,$150.14
Tamsulosin HCl ,Tamsulosin HCl ,15,"$401,676,385.16","889,022,749","15,121,849","3,193,019",$0.45,$26.56,$125.80
Tanzeum ,Albiglutide ,1,"$34,845,718.74","311,431","65,031","13,617",$111.89,$535.83,"$2,558.99"
Tapazole ,Methimazole ,1,"$90,060.49","54,019","1,059",263,$1.70,$85.04,$342.44
Tarceva ,Erlotinib HCl ,1,"$379,120,616.87","2,017,269","55,741","9,108",$210.27,"$6,801.47","$41,625.01"
Targretin ,Bexarotene ,1,"$42,812,358.70","152,433","1,529",396,$298.82,"$28,000.23","$108,112.02"
Tarka ,Trandolapril/Verapamil HCl ,1,"$1,671,758.69","396,224","5,853","1,365",$4.22,$285.62,"$1,224.73"
Taron-C DHA ,"PNV 16/Iron Fum,Ps/Folic/Om-3 ",1,"$7,034.66","8,165",191,54,$0.86,$36.83,$130.27
Tasigna ,Nilotinib HCl ,1,"$307,612,237.38","3,268,159","33,205","3,932",$94.13,"$9,264.03","$78,233.02"
Tasmar ,Tolcapone ,1,"$4,545,153.86","45,978",331,70,$98.85,"$13,731.58","$64,930.77"
Tazicef ,Ceftazidime ,1,"$255,328.00","179,661","2,782","1,212",$1.62,$91.78,$210.67
Tazorac ,Tazarotene ,1,"$4,892,618.40","464,742","9,721","4,912",$10.52,$503.30,$996.05
Taztia Xt ,Diltiazem HCl ,1,"$12,053,010.39","16,181,700","292,496","79,169",$0.75,$41.21,$152.24
Tecfidera ,Dimethyl Fumarate ,1,"$932,309,037.66","8,935,935","130,707","17,549",$104.33,"$7,132.82","$53,126.05"
Technivie ,Ombitasvir/Paritaprev/Ritonav ,1,"$1,648,369.74","3,612",68,28,$456.36,"$24,240.73","$58,870.35"
Teflaro ,Ceftaroline Fosamil Acetate ,1,"$12,006,306.17","1,541,139","6,318","1,652",$7.85,"$1,900.33","$7,267.74"
Tegretol ,Carbamazepine ,1,"$13,910,803.12","9,879,306","45,577","6,149",$1.87,$305.22,"$2,262.29"
Tegretol XR ,Carbamazepine ,1,"$22,587,240.15","11,266,467","99,751","15,799",$2.07,$226.44,"$1,429.66"
Tekturna ,Aliskiren Hemifumarate ,2,"$35,249,240.30","6,220,537","126,303","21,934",$5.67,$279.08,"$1,607.06"
Tekturna HCT ,Aliskiren/Hydrochlorothiazide ,1,"$7,454,321.33","1,286,454","25,407","4,647",$5.80,$293.40,"$1,604.11"
Telmisartan ,Telmisartan ,8,"$24,031,652.52","20,128,663","358,861","77,493",$1.19,$66.97,$310.11
Telmisartan-Amlodipine ,Telmisartan/Amlodipine ,2,"$1,712,119.99","487,835","8,581","1,993",$3.51,$199.52,$859.07
Telmisartan-Hydrochlorothiazid ,Telmisartan/Hydrochlorothiazid ,5,"$25,604,049.40","9,588,440","171,907","37,981",$2.68,$148.94,$674.13
Temazepam ,Temazepam ,11,"$47,802,962.05","120,100,336","3,382,341","679,397",$0.43,$14.13,$70.36
Temovate ,Clobetasol Propionate ,1,"$34,585.16","5,100",101,72,$6.78,$342.43,$480.35
Tencon ,Butalbital/Acetaminophen ,1,"$33,090.07","49,616","1,441","1,036",$0.67,$22.96,$31.94
Tenivac ,Tetanus And Diphtheria Tox/PF ,1,"$486,540.24","7,076","10,200","10,136",$68.77,$47.70,$48.00
Tenoretic 100 ,Atenolol/Chlorthalidone ,1,"$17,541.04","3,815",106,16,$4.60,$165.48,"$1,096.32"
Tenoretic 50 ,Atenolol/Chlorthalidone ,2,"$339,575.63","31,092",625,129,$10.74,$543.32,"$2,632.37"
Tenormin ,Atenolol ,2,"$9,104,498.76","806,637","11,724","2,294",$11.22,$776.57,"$3,968.83"
Terazol 7 ,Terconazole ,2,"$9,855.37","9,990",203,105,$0.99,$48.55,$93.86
Terazosin HCl ,Terazosin HCl ,6,"$26,885,670.70","165,432,415","2,163,413","464,099",$0.16,$12.43,$57.93
Terbinafine HCl ,Terbinafine HCl ,11,"$4,710,019.21","16,178,455","445,698","245,928",$0.29,$10.57,$19.15
Terbutaline Sulfate ,Terbutaline Sulfate ,4,"$4,513,025.12","1,316,035","14,036","3,200",$3.40,$321.53,"$1,410.32"
Terconazole ,Terconazole ,5,"$4,720,250.26","4,904,965","141,103","95,277",$2.13,$33.45,$49.54
Terumo Insulin Syringe ,"Syringe And Needle,Insulin,1ml ",1,"$2,241.57","11,585",141,42,$0.19,$15.90,$53.37
Terumo Insulin Syringe ,"Syringe-Needle,Insulin,0.5 Ml ",1,"$5,395.61","28,449",541,207,$0.19,$9.97,$26.07
Testim ,Testosterone ,1,"$8,512,193.82","2,706,041","11,612","3,177",$3.15,$733.05,"$2,679.32"
Testopel ,Testosterone ,1,"$620,437.04","6,804",630,358,$91.19,$984.82,"$1,733.06"
Testosterone ,Testosterone ,5,"$35,587,678.97","17,930,986","86,853","24,816",$2.16,$409.75,"$1,434.06"
Testosterone Cypionate ,Testosterone Cypionate ,4,"$22,673,060.95","2,486,131","496,014","145,115",$10.16,$45.71,$156.24
Testosterone Enanthate ,Testosterone Enanthate ,2,"$1,015,120.04","85,164","14,076","4,802",$11.92,$72.12,$211.40
Testred ,Methyltestosterone ,1,"$383,546.30","4,974",61,21,$77.11,"$6,287.64","$18,264.11"
Tetanus Diphtheria Toxoids ,"Tetanus, Diphtheria Tox,Adult ",2,"$859,962.07","14,834","17,522","17,435",$58.16,$49.08,$49.32
Tetanus Toxoid Adsorbed ,"Tetanus Toxoid, Adsorbed/PF ",1,"$14,961.18",257,266,266,$58.21,$56.25,$56.25
Tetrabenazine ,Tetrabenazine ,2,"$99,544,924.08","1,271,982","14,335","2,295",$79.96,"$6,944.19","$43,374.69"
Tetracaine HCl ,Tetracaine HCl ,1,"$1,260.10","1,755",117,108,$0.72,$10.77,$11.67
Tetracycline HCl ,Tetracycline HCl ,1,"$8,448,135.90","2,000,416","31,884","23,392",$4.19,$264.96,$361.15
Texacort ,Hydrocortisone ,1,"$14,738.18","2,550",70,55,$5.78,$210.55,$267.97
Thalomid ,Thalidomide ,1,"$58,553,500.84","252,686","8,173","1,502",$233.26,"$7,164.26","$38,983.69"
Theo-24 ,Theophylline Anhydrous ,1,"$6,819,004.68","2,676,332","51,296","13,488",$2.60,$132.93,$505.56
Theophylline ,Theophylline Anhydrous ,6,"$7,149,176.10","10,502,415","151,066","33,145",$0.94,$47.32,$215.69
Theophylline Anhydrous ,Theophylline Anhydrous ,3,"$6,455,692.49","16,214,370","226,340","76,647",$0.40,$28.52,$84.23
Thiola ,Tiopronin ,1,"$12,946,873.47","443,516","1,615",176,$29.19,"$8,016.64","$73,561.78"
Thioridazine HCl ,Thioridazine HCl ,3,"$5,158,904.76","8,834,849","106,814","11,541",$0.59,$48.30,$447.01
Thiothixene ,Thiothixene ,3,"$9,857,727.72","7,552,759","104,610","12,912",$1.29,$94.23,$763.45
Tiagabine HCl ,Tiagabine HCl ,2,"$7,907,171.48","1,620,064","18,320","3,015",$4.89,$431.61,"$2,622.61"
Tiazac ,Diltiazem HCl ,1,"$403,834.52","144,236","2,492",551,$2.89,$162.05,$732.91
Tigan ,Trimethobenzamide HCl ,2,"$334,487.29","28,167","1,195",787,$14.51,$279.91,$425.02
Tikosyn ,Dofetilide ,1,"$107,017,063.80","13,611,792","159,888","34,244",$7.86,$669.33,"$3,125.13"
Tilia Fe ,Norethindrone-E.Estradiol-Iron ,1,"$33,867.65","25,452",712,110,$1.33,$47.57,$307.89
Timolol Maleate ,Timolol Maleate ,9,"$64,113,329.28","21,625,823","2,408,418","630,630",$3.67,$26.62,$101.67
Timoptic ,Timolol Maleate ,1,"$131,053.03","5,698",656,364,$23.00,$199.78,$360.04
Timoptic Ocudose ,Timolol Maleate/PF ,1,"$8,592,432.93","1,364,313","17,747","4,964",$6.30,$484.16,"$1,730.95"
Timoptic-Xe ,Timolol Maleate ,1,"$637,732.70","18,710","2,650",739,$34.12,$240.65,$862.97
Tinidazole ,Tinidazole ,5,"$406,743.60","106,147","6,068","4,399",$4.05,$67.03,$92.46
Tirosint ,Levothyroxine Sodium ,1,"$8,512,986.46","2,272,317","50,651","10,964",$3.75,$168.07,$776.45
Tivicay ,Dolutegravir Sodium ,1,"$340,640,227.67","7,195,508","218,146","28,681",$47.34,"$1,561.52","$11,876.86"
Tivorbex ,"Indomethacin, Submicronized ",1,"$153,508.66","40,293",630,291,$3.81,$243.66,$527.52
Tizanidine HCl ,Tizanidine HCl ,12,"$104,440,540.24","362,937,593","4,535,730","1,240,675",$0.29,$23.03,$84.18
Tobi ,Tobramycin In 0.225% NaCl ,1,"$346,123.05","14,670",68,29,$23.59,"$5,090.04","$11,935.28"
Tobi Podhaler ,Tobramycin ,1,"$11,444,921.31","288,024","1,280",425,$39.74,"$8,941.34","$26,929.23"
Tobradex ,Tobramycin/Dexamethasone ,1,"$20,458,229.88","361,703","100,128","69,983",$56.74,$204.32,$292.33
Tobradex St ,Tobramycin/Dexamethasone ,1,"$992,643.85","27,897","5,354","4,438",$35.58,$185.40,$223.67
Tobramycin ,Tobramycin ,3,"$2,712,978.26","1,582,417","274,355","222,588",$1.71,$9.89,$12.19
Tobramycin ,Tobramycin In 0.225% NaCl ,3,"$4,643,329.76","287,860","1,623",672,$16.19,"$2,860.95","$6,909.72"
Tobramycin Sulfate ,Tobramycin Sulfate ,5,"$5,993,763.30","2,621,895","14,893","6,488",$1.47,$402.46,$923.82
Tobramycin-Dexamethasone ,Tobramycin/Dexamethasone ,2,"$41,797,039.63","2,552,265","491,214","365,431",$16.37,$85.09,$114.38
Tobrex ,Tobramycin ,1,"$2,547,807.97","46,274","12,825","9,667",$55.06,$198.66,$263.56
Tofranil ,Imipramine HCl ,1,"$585,320.83","45,972",341,63,$12.76,"$1,716.48","$9,290.81"
Tolak ,Fluorouracil ,1,"$373,121.24","98,362","2,422","2,234",$3.79,$154.06,$167.02
Tolazamide ,Tolazamide ,1,"$239,575.55","103,384",828,247,$2.26,$289.34,$969.94
Tolbutamide ,Tolbutamide ,1,"$89,347.98","103,001",794,190,$0.87,$112.53,$470.25
Tolcapone ,Tolcapone ,1,"$3,261,593.82","38,296",335,61,$85.17,"$9,736.10","$53,468.75"
Tolmetin Sodium ,Tolmetin Sodium ,2,"$574,412.53","311,256","2,777",783,$1.87,$206.85,$733.60
Tolterodine Tartrate ,Tolterodine Tartrate ,5,"$28,058,645.52","15,189,877","231,715","57,952",$1.85,$121.09,$484.17
Tolterodine Tartrate ER ,Tolterodine Tartrate ,4,"$206,816,961.61","40,875,619","914,112","204,405",$5.06,$226.25,"$1,011.80"
Topamax ,Topiramate ,1,"$55,615,870.98","4,912,747","47,556","5,832",$11.94,"$1,169.48","$9,536.33"
Topcare Clickfine ,"Pen Needle, Diabetic ",1,"$8,580.91","43,850",368,152,$0.20,$23.32,$56.45
Topcare Ultra Comfort ,"Syring-Needl,Disp,Insul,0.3 Ml ",1,"$1,191.62","7,860",70,37,$0.15,$17.02,$32.21
Topcare Ultra Comfort ,"Syringe And Needle,Insulin,1ml ",1,"$5,929.29","39,661",342,161,$0.15,$17.34,$36.83
Topcare Ultra Comfort ,"Syringe-Needle,Insulin,0.5 Ml ",1,"$3,562.78","23,698",222,93,$0.15,$16.05,$38.31
Topicort ,Desoximetasone ,1,"$1,335,737.61","244,185","2,521","1,634",$5.47,$529.84,$817.46
Topiramate ,Topiramate ,15,"$39,969,136.08","244,136,038","2,980,928","519,401",$0.16,$13.41,$76.95
Topiramate ER ,Topiramate ,1,"$2,504,469.10","265,080","4,865","1,337",$9.74,$514.79,"$1,873.20"
Toposar ,Etoposide ,1,"$1,982.11","1,295",54,16,$1.53,$36.71,$123.88
Toprol XL ,Metoprolol Succinate ,1,"$45,751,827.73","74,286,750","779,430","214,654",$0.62,$58.70,$213.14
Torisel ,Temsirolimus ,1,"$423,265.15",259,83,24,"$1,634.23","$5,099.58","$17,636.05"
Torsemide ,Torsemide ,8,"$25,956,418.35","107,841,673","1,529,269","329,579",$0.25,$16.97,$78.76
Toujeo Solostar ,"Insulin Glargine,Hum.Rec.Anlog ",1,"$345,324,334.05","4,670,429","621,495","148,357",$73.94,$555.63,"$2,327.66"
Toviaz ,Fesoterodine Fumarate ,1,"$123,830,715.20","14,483,473","365,439","73,693",$8.55,$338.85,"$1,680.36"
Tracleer ,Bosentan ,1,"$304,240,056.24","1,916,257","32,125","3,353",$158.77,"$9,470.51","$90,736.67"
Tradjenta ,Linagliptin ,1,"$708,099,981.01","60,072,192","1,558,521","276,638",$11.79,$454.34,"$2,559.66"
Tramadol HCl ,Tramadol HCl ,12,"$120,188,924.66","1,213,319,504","14,538,831","4,460,270",$0.10,$8.27,$26.95
Tramadol HCl ER ,Tramadol HCl ,5,"$16,402,774.73","5,919,775","146,764","36,999",$2.84,$111.76,$443.33
Tramadol HCl-Acetaminophen ,Tramadol HCl/Acetaminophen ,7,"$13,964,704.95","52,866,069","661,663","258,625",$0.26,$21.11,$54.00
Trandolapril ,Trandolapril ,5,"$2,954,202.90","8,796,018","125,111","25,299",$0.34,$23.61,$116.77
Trandolapril-Verapamil ER ,Trandolapril/Verapamil HCl ,2,"$1,523,732.12","475,337","8,060","1,806",$3.21,$189.05,$843.71
Tranexamic Acid ,Tranexamic Acid ,3,"$733,322.49","246,968","4,966","2,414",$2.97,$147.67,$303.78
Transderm-Scop ,Scopolamine ,2,"$28,063,100.43","1,397,088","240,453","127,905",$19.92,$116.71,$219.41
Tranxene T-Tab ,Clorazepate Dipotassium ,1,"$449,548.75","73,394",687,127,$6.09,$654.36,"$3,539.75"
Tranylcypromine Sulfate ,Tranylcypromine Sulfate ,2,"$3,409,129.02","1,812,019","9,906","1,787",$1.88,$344.15,"$1,907.74"
Travasol ,Parenteral Amino Acid 10% No.6 ,1,"$675,862.84","20,465,134","3,874",322,$0.03,$174.46,"$2,098.95"
Travatan Z ,Travoprost ,1,"$383,911,518.74","6,452,139","1,694,690","368,872",$59.50,$226.54,"$1,040.77"
Travoprost ,Travoprost (Benzalkonium) ,1,"$4,523,985.72","142,700","34,331","13,390",$31.70,$131.78,$337.86
Trazodone HCl ,Trazodone HCl ,11,"$112,582,758.23","638,491,289","12,351,655","2,406,128",$0.18,$9.11,$46.79
Treanda ,Bendamustine HCl ,1,"$4,266,733.09","1,711",444,117,"$2,490.41","$9,609.76","$36,467.80"
Trelstar ,Triptorelin Pamoate ,1,"$10,761,741.94","4,712","4,711","1,827","$2,283.88","$2,284.39","$5,890.39"
Tresiba Flextouch U-100 ,Insulin Degludec ,1,"$28,122,846.67","951,189","56,321","21,609",$29.57,$499.33,"$1,301.44"
Tresiba Flextouch U-200 ,Insulin Degludec ,1,"$111,623,799.45","1,891,047","131,851","42,426",$59.03,$846.59,"$2,631.02"
Tretinoin ,Tretinoin ,5,"$23,940,457.97","5,681,293","139,170","73,018",$3.71,$172.02,$327.87
Tretinoin Microsphere ,Tretinoin Microspheres ,2,"$1,434,385.67","163,590","3,426","1,776",$8.75,$418.68,$807.65
Trexall ,Methotrexate Sodium ,1,"$734,608.79","36,233","3,443",939,$22.75,$213.36,$782.33
Treximet ,Sumatriptan Succ/Naproxen Sod ,1,"$8,122,697.06","101,352","7,710","1,878",$80.14,"$1,053.53","$4,325.18"
Trezix ,Acetaminophen/Caff/Dihydrocod ,1,"$306,188.32","80,669",948,493,$3.80,$322.98,$621.07
Tri-Estarylla ,Norgestimate-Ethinyl Estradiol ,1,"$61,333.14","130,088","3,346",693,$0.47,$18.33,$88.50
Tri-Legest Fe ,Norethindrone-E.Estradiol-Iron ,1,"$60,557.11","43,820","1,138",188,$1.38,$53.21,$322.11
Tri-Linyah ,Norgestimate-Ethinyl Estradiol ,1,"$163,237.39","362,027","10,513","2,049",$0.45,$15.53,$79.67
Tri-Previfem ,Norgestimate-Ethinyl Estradiol ,1,"$188,989.19","400,477","11,884","2,182",$0.47,$15.90,$86.61
Tri-Sprintec ,Norgestimate-Ethinyl Estradiol ,1,"$445,191.27","1,013,614","29,750","5,158",$0.44,$14.96,$86.31
Triamcinolone Acetonide ,Triamcinolone Acetonide ,10,"$67,236,329.16","446,406,196","4,263,153","2,436,922",$0.58,$15.77,$27.59
Triamterene-Hydrochlorothiazid ,Triamterene/Hydrochlorothiazid ,7,"$56,205,894.94","264,752,233","4,438,117","1,000,056",$0.21,$12.66,$56.20
Trianex ,Triamcinolone Acetonide ,1,"$722,861.21","364,314",857,675,$1.98,$843.48,"$1,070.91"
Triazolam ,Triazolam ,1,"$5,476,457.10","5,170,486","129,284","35,594",$1.06,$42.36,$153.86
Tribenzor ,Olmesartan/Amlodipin/HCThiazid ,1,"$64,173,585.45","7,782,316","172,956","32,869",$8.25,$371.04,"$1,952.40"
Tricare ,Prenatal #103/Iron Fumarate/FA ,1,"$3,048.50","3,758",103,36,$0.81,$29.60,$84.68
Tricitrates ,Sod/Pot/K Cit/Sod Cit/Cit Acid ,1,"$13,105.74","257,584",209,59,$0.05,$62.71,$222.13
Tricor ,Fenofibrate Nanocrystallized ,1,"$3,771,984.02","4,106,605","49,244","20,491",$0.91,$76.60,$184.08
Trifluoperazine HCl ,Trifluoperazine HCl ,4,"$8,114,106.26","7,325,990","109,749","14,297",$1.09,$73.93,$567.54
Trifluridine ,Trifluridine ,2,"$2,187,084.56","131,986","17,266","12,735",$16.57,$126.67,$171.74
Triglide ,Fenofibrate Nanocrystallized ,1,"$517,166.54","72,809","1,306",498,$7.10,$395.99,"$1,038.49"
Trihexyphenidyl HCl ,Trihexyphenidyl HCl ,8,"$2,913,056.79","20,020,971","270,306","40,828",$0.15,$10.78,$71.35
Trileptal ,Oxcarbazepine ,1,"$19,927,459.09","3,461,523","19,943","2,470",$8.04,$999.22,"$8,067.80"
Trilipix ,Fenofibric Acid (Choline) ,1,"$1,735,740.47","248,081","4,940","1,282",$6.97,$351.36,"$1,353.93"
Trilyte With Flavor Packets ,Sodium Chloride/NaHCO3/KCl/PEG ,1,"$330,164.58","77,117,083","18,976","18,212",$0.00,$17.40,$18.13
Trimethobenzamide HCl ,Trimethobenzamide HCl ,2,"$737,056.82","598,748","8,981","4,080",$1.23,$82.07,$180.65
Trimethoprim ,Trimethoprim ,3,"$4,504,581.89","11,887,450","282,861","76,191",$0.38,$15.93,$59.12
Trinatal Rx 1 ,"Prenatal Vit27,Calcium/Iron/FA ",1,"$3,911.55","17,549",469,155,$0.22,$8.34,$25.24
Trinessa ,Norgestimate-Ethinyl Estradiol ,1,"$370,994.19","792,686","19,280","3,927",$0.47,$19.24,$94.47
Triphrocaps ,B Complex W-C No.20/Folic Acid ,1,"$4,271.56","10,991",258,82,$0.39,$16.56,$52.09
Triumeq ,Abacavir/Dolutegravir/Lamivudi ,1,"$460,964,017.63","5,759,698","186,495","23,649",$80.03,"$2,471.72","$19,491.90"
Trivora-28 ,Levonorgestrel-Ethin Estradiol ,1,"$71,851.11","119,661","3,093",515,$0.60,$23.23,$139.52
Trizivir ,Abacavir/Lamivudine/Zidovudine ,1,"$1,790,495.75","68,853","1,104",217,$26.00,"$1,621.83","$8,251.13"
Trokendi XR ,Topiramate ,1,"$18,300,862.93","984,528","20,782","4,234",$18.64,$880.61,"$4,322.36"
Tropicamide ,Tropicamide ,3,"$48,918.83","29,022","4,534","3,923",$1.87,$10.79,$12.47
Trospium Chloride ,Trospium Chloride ,3,"$21,176,515.22","16,059,722","207,923","57,425",$1.35,$101.85,$368.77
Trospium Chloride ER ,Trospium Chloride ,3,"$21,288,508.00","4,763,331","95,417","24,376",$4.47,$223.11,$873.34
Trueplus Insulin Syringe ,"Syring-Needl,Disp,Insul,0.3 Ml ",1,"$371,558.85","1,768,787","17,686","6,563",$0.21,$21.01,$56.61
Trueplus Insulin Syringe ,"Syringe And Needle,Insulin,1ml ",1,"$1,028,430.92","5,217,656","47,776","16,361",$0.20,$21.53,$62.86
Trueplus Insulin Syringe ,"Syringe-Needle,Insulin,0.5 Ml ",1,"$1,211,414.62","6,156,911","60,298","19,993",$0.20,$20.09,$60.59
Trulicity ,Dulaglutide ,1,"$269,317,741.08","946,920","357,961","79,919",$284.67,$752.37,"$3,369.88"
Trusopt ,Dorzolamide HCl ,1,"$309,566.54","37,491","2,762",670,$8.26,$112.08,$462.04
Truvada ,Emtricitabine/Tenofovir (Tdf) ,1,"$636,239,417.27","12,944,484","420,884","54,861",$49.15,"$1,511.67","$11,597.30"
Tudorza Pressair ,Aclidinium Bromide ,2,"$59,525,857.87","210,770","162,012","48,260",$282.31,$367.42,"$1,233.44"
Twinrix ,Hepatitis A And B Vaccine/PF ,1,"$2,539,360.78","22,498","22,176","13,727",$112.86,$114.51,$184.99
Twynsta ,Telmisartan/Amlodipine ,1,"$153,909.66","24,344",586,94,$6.33,$262.64,"$1,637.34"
Tybost ,Cobicistat ,1,"$152,475.86","23,367",704,135,$6.53,$216.59,"$1,129.45"
Tygacil ,Tigecycline ,1,"$4,675,118.88","546,923","3,650",996,$8.55,"$1,280.85","$4,693.89"
Tykerb ,Lapatinib Ditosylate ,1,"$19,258,000.20","468,851","3,748",942,$41.07,"$5,138.21","$20,443.74"
Tylenol-Codeine No.3 ,Acetaminophen With Codeine ,1,"$147,464.99","120,751","1,395",412,$1.22,$105.71,$357.92
Tylenol-Codeine No.4 ,Acetaminophen With Codeine ,1,"$277,491.08","129,663",964,176,$2.14,$287.85,"$1,576.65"
Typhim Vi ,Typhoid Vacc Vi Capsulr Polys ,1,"$1,060,611.64","11,578","11,051","11,014",$111.89,$95.97,$96.30
Tysabri ,Natalizumab ,1,"$35,404,840.36","95,839","6,103",800,$369.42,"$5,801.22","$44,256.05"
Tyvaso Refill Kit ,Treprostinil/Neb Accessories ,1,"$3,225,898.44","17,133",203,35,$188.28,"$15,891.13","$92,168.53"
Tyzeka ,Telbivudine ,1,"$317,643.00","8,903",288,42,$35.68,"$1,102.93","$7,562.93"
Uceris ,Budesonide ,1,"$26,858,337.82","503,055","15,119","4,953",$53.39,"$1,776.46","$5,422.64"
Uloric ,Febuxostat ,1,"$249,489,706.02","27,228,622","652,747","120,246",$9.16,$382.22,"$2,074.83"
Ulticare ,"Syr,Ndl,Insulin,1ml-Sharps Bin ",1,"$9,484.67","30,262",329,138,$0.31,$28.83,$68.73
Ulticare ,"Syr-Nd,Ins,0.3/Container,Empty ",1,"$1,872.61","5,900",89,33,$0.32,$21.04,$56.75
Ulticare ,"Syr-Nd,Ins,0.5/Container,Empty ",1,"$5,650.00","18,319",186,73,$0.31,$30.38,$77.40
Ulticare ,"Syring-Needl,Disp,Insul,0.3 Ml ",1,"$123,088.05","496,602","4,634","1,895",$0.25,$26.56,$64.95
Ulticare ,"Syringe And Needle,Insulin,1ml ",1,"$449,890.21","1,788,859","16,049","5,787",$0.25,$28.03,$77.74
Ulticare ,"Syringe-Needle,Insulin,0.5 Ml ",1,"$375,363.99","1,507,058","13,740","4,971",$0.25,$27.32,$75.51
Ulticare Pen Needle ,"Pen Needle, Diabetic ",1,"$8,726,079.24","23,705,969","214,605","72,382",$0.37,$40.66,$120.56
Ultilet Insulin Syringe ,"Syring-Needl,Disp,Insul,0.3 Ml ",1,$643.23,"2,511",56,18,$0.26,$11.49,$35.74
Ultilet Insulin Syringe ,"Syringe And Needle,Insulin,1ml ",1,"$4,247.53","17,520",273,75,$0.24,$15.56,$56.63
Ultimatecare One ,"PNV,Calcium37/Iron/Folic/Omeg3 ",1,"$9,148.63","11,748",182,58,$0.78,$50.27,$157.74
Ultra Comfort ,"Syrge-Ndl,Ins 0.3 Ml Half Mark ",1,"$19,089.31","129,594","1,300",607,$0.15,$14.68,$31.45
Ultra Comfort ,"Syring-Needl,Disp,Insul,0.3 Ml ",3,"$45,134.48","215,523","1,626",701,$0.21,$27.76,$64.39
Ultra Comfort ,"Syringe And Needle,Insulin,1ml ",3,"$364,848.08","1,859,509","15,997","6,413",$0.19,$22.81,$56.89
Ultra Comfort ,"Syringe-Needle,Insulin,0.5 Ml ",4,"$305,876.72","1,583,495","14,232","5,263",$0.19,$21.49,$58.12
Ultra-Thin II ,"Pen Needle, Diabetic ",1,"$152,175.24","516,883","4,389","1,912",$0.29,$34.67,$79.59
Ultra-Thin II ,"Syring-Needl,Disp,Insul,0.3 Ml ",1,"$20,033.00","74,843",632,288,$0.27,$31.70,$69.56
Ultra-Thin II ,"Syringe And Needle,Insulin,1ml ",1,"$50,561.23","188,177","1,766",664,$0.27,$28.63,$76.15
Ultra-Thin II ,"Syringe-Needle,Insulin,0.5 Ml ",1,"$62,825.66","235,539","2,451",798,$0.27,$25.63,$78.73
Ultracet ,Tramadol HCl/Acetaminophen ,1,"$841,214.99","338,459","2,585",574,$2.49,$325.42,"$1,465.53"
Ultram ,Tramadol HCl ,1,"$3,288,414.62","1,229,795","8,929","1,885",$2.67,$368.28,"$1,744.52"
Ultram ER ,Tramadol HCl ,1,"$121,578.37","7,970",190,62,$15.25,$639.89,"$1,960.94"
Ultravate X ,Halobetasol/Lactic Acid ,1,"$56,195.71","18,425",66,48,$3.05,$851.45,"$1,170.74"
Unasyn ,Ampicillin Sodium/Sulbactam Na ,1,"$196,168.70","224,108",849,291,$0.87,$231.06,$674.12
Unifine Pentips ,"Pen Needle, Diabetic ",3,"$8,798,194.94","36,588,548","328,660","103,983",$0.24,$26.77,$84.61
Unifine Pentips Plus ,"Pen Needle, Diabetic ",2,"$1,891,258.13","7,947,597","65,781","25,163",$0.24,$28.75,$75.16
